"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "probeset"
"Os.7890.1.S1_x_at" 85.3212610298561 11.455429256395 23.1284882815153 3.53566844071488e-41 2.09158480891857e-39 82.9922814229671 "Os.7890.1.S1_x_at"
"Os.11774.1.S1_x_at" 84.501803977898 24.7341298981828 8.52174609382251 2.11409183472508e-13 4.309442900895e-12 18.7886808468316 "Os.11774.1.S1_x_at"
"Os.14256.1.S1_a_at" 84.1198905690047 5.89671885694301 27.865923462402 5.5025437828454e-48 4.40987384563177e-46 98.7623325395508 "Os.14256.1.S1_a_at"
"Os.12283.1.S1_at" 82.7149411770109 9.63724556957817 23.9549530135911 1.95656161858141e-42 1.23783262180197e-40 85.9043145007034 "Os.12283.1.S1_at"
"Os.28218.1.S1_x_at" 82.5921934309783 4.38753181981371 51.7490768499114 2.88053103253185e-72 8.56428143568616e-70 154.86578700013 "Os.28218.1.S1_x_at"
"Os.7941.2.S1_s_at" 82.0881473691799 16.7789925697861 9.22492493477423 6.51782297021686e-15 1.42153446475478e-13 22.2593780189375 "Os.7941.2.S1_s_at"
"Os.12713.1.S1_at" 78.4941530996781 7.62823976612503 30.0101429670017 8.87862015531071e-51 8.2841135244234e-49 105.228069837773 "Os.12713.1.S1_at"
"Os.28438.1.S1_x_at" 75.5626183795436 11.6882697038131 18.346286074128 3.00210050853307e-33 1.31200709353118e-31 64.6248637108915 "Os.28438.1.S1_x_at"
"Os.4859.1.S1_at" 75.3728755722504 7.06609676969214 94.9749140285186 3.07747655911205e-97 5.88639199716559e-94 211.817191246103 "Os.4859.1.S1_at"
"OsAffx.22955.1.S1_x_at" 75.108336133103 47.2698200774912 10.8032214727882 2.60824231934546e-18 6.53278746262249e-17 30.0826408615415 "OsAffx.22955.1.S1_x_at"
"Os.28438.2.S1_a_at" 75.0237610556575 9.00090207706871 23.3403347871594 1.67221544112387e-41 1.00687372972266e-39 83.7456279048964 "Os.28438.2.S1_a_at"
"OsAffx.32328.1.S1_at" 73.8945476482165 19.3939153247665 16.7340734020855 2.64584874166465e-30 1.03563501019237e-28 57.8052217497548 "OsAffx.32328.1.S1_at"
"Os.50420.1.S1_s_at" 73.814762742771 15.8866255747137 24.550762169801 2.53737559465565e-43 1.65642419081377e-41 87.9594229855456 "Os.50420.1.S1_s_at"
"Os.10696.1.S1_at" 72.9449125818252 3.82692224508206 108.514312528782 8.83171739682865e-103 3.37854405109881e-99 224.226529898938 "Os.10696.1.S1_at"
"Os.5694.1.S1_at" 72.4669162944792 6.21732594830627 44.8688121576118 1.6216322667373e-66 3.35929612743392e-64 141.613411323926 "Os.5694.1.S1_at"
"Os.26642.1.S1_a_at" 72.267236177396 6.36621985996514 47.6649555826345 6.04200038956724e-69 1.43859778570186e-66 147.214424187034 "Os.26642.1.S1_a_at"
"Os.7912.1.S1_at" 71.7470337231529 22.6807768075827 6.40850995562231 5.3601996716237e-09 8.54623444170912e-08 8.72288617351355 "Os.7912.1.S1_at"
"Os.7891.1.S1_a_at" 71.0911081372794 26.1542137433523 8.23329487131902 8.73654264606383e-13 1.72097593586143e-11 17.3752358264794 "Os.7891.1.S1_a_at"
"Os.27642.1.S1_at" 68.0077880779212 5.94277741489173 34.9626267215393 1.18584532646407e-56 1.44779098985449e-54 118.823038067817 "Os.27642.1.S1_at"
